,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-10,1203,N大中,43.99,217871.0,0.0,353025.0,0.0,10.78,12.93,10.78,12.93,23562.0,0.0,23.94,3040.22,25.76,21409.0,2153.0,9.94,19.94,0.0,44.1,1521.0,15.0,1.08,  -2489万,-0.88,-81.87, -838.3万,0,  -83.6万,  -1567万,1521.0,1.0,,,,,,,,,,1.0,10.0,4238.0,4.0,3013.0,2111.0,1873.0,2089.0,1851.0,3033.0,4265.0,2.0,2922.0,2104.0,2457.0,4090.0,6.0,5.0,1.0,1.0,2359.0,3278.0,3346.0,,4097.0,4260.0,,,,,2359.0,1.0,,,,,,,,,,,,,,,
1,2021-05-11,1203,大中矿业,9.98,2524335.0,0.0,331813.0,0.0,14.22,14.22,14.22,14.22,4758.0,0.2,0.0,676.59,77.38,4459.0,299.0,14.91,0.0,0.0,9.63,592.0,8.0,0.22, -591.4万,-0.19,-87.41,0,0,  -55.3万, -536.1万,592.0,1.0,100.0,9.36,,,,,,,,62.0,2.0,4245.0,2.0,3049.0,1681.0,1711.0,1665.0,1691.0,4075.0,4259.0,4245.0,4112.0,1306.0,3747.0,4267.0,1.0,4218.0,1.0,45.0,3757.0,3908.0,4256.0,,3337.0,4268.0,,,,,3757.0,1.0,1.0,62.0,,,,,,,,,,,,,
2,2021-05-12,1203,大中矿业,9.99,3651492.0,0.0,225573.0,0.0,15.64,15.64,15.64,15.64,2317.0,0.16,0.0,362.41,80.4,1995.0,322.0,6.2,0.0,0.0,9.28,323.0,7.0,0.11, -261.7万,-0.08,-72.2,0,0,  -18.0万, -243.7万,323.0,1.0,100.0,9.56,,,,,,,,68.0,2.0,4259.0,6.0,3046.0,1544.0,1573.0,1523.0,1564.0,4239.0,4266.0,4258.0,4254.0,1121.0,4132.0,4272.0,5.0,4252.0,1.0,87.0,4179.0,4023.0,4273.0,,2965.0,4270.0,,,,,4179.0,1.0,1.0,67.0,,,,,,,,,,,,,
3,2021-05-13,1203,大中矿业,9.97,1698292.0,0.0,261880.0,0.0,17.2,17.2,17.2,17.2,10990.0,1.06,0.0,1890.32,162.23,10443.0,547.0,19.09,0.0,0.0,11.02,1115.0,10.0,0.5,  -1702万,-0.45,-90.02,0,  -73.3万,  -55.9万,  -1573万,1115.0,1.0,100.0,11.0,33.01,,,,,,,56.0,2.0,4250.0,3.0,3070.0,1413.0,1438.0,1396.0,1417.0,3669.0,1494.0,4269.0,3519.0,881.0,3200.0,4273.0,4.0,4105.0,1.0,41.0,2918.0,3746.0,4143.0,,3726.0,4278.0,,,,,2918.0,1.0,1.0,50.0,13.0,,,,,,,,,,,,
4,2021-05-14,1203,大中矿业,10.0,3128224.0,0.0,365108.0,0.0,18.92,18.92,18.92,18.92,22127.0,2.14,0.0,4186.42,510.46,20703.0,1424.0,14.54,0.0,0.0,7.91,1322.0,17.0,1.01,  -3647万,-0.88,-87.12,0, -116.5万,  -1109万,  -2421万,1322.0,1.0,100.0,7.64,31.31,,,,,,,58.0,2.0,4247.0,2.0,3100.0,1274.0,1312.0,1262.0,1291.0,3164.0,316.0,4264.0,2721.0,264.0,2543.0,4224.0,3.0,4238.0,1.0,87.0,2699.0,3174.0,3635.0,,4100.0,4277.0,,,,,2699.0,1.0,1.0,64.0,10.0,,,,,,,,,,,,
5,2021-05-17,1203,大中矿业,9.99,1990411.0,0.0,278825.0,0.0,20.81,20.81,20.81,20.81,13852.0,1.09,0.0,2882.56,616.9,12274.0,1578.0,7.78,0.0,0.0,8.25,1256.0,11.0,0.63,  -2226万,-0.49,-77.21,0, -146.9万, -470.3万,  -1608万,1256.0,1.0,100.0,8.53,30.27,57.09,,,,,,35.0,2.0,4260.0,3.0,3172.0,1177.0,1200.0,1149.0,1169.0,3635.0,1843.0,4260.0,3186.0,320.0,3240.0,4205.0,5.0,3918.0,1.0,46.0,2904.0,3736.0,4105.0,,3603.0,4278.0,,,,,2904.0,1.0,1.0,34.0,5.0,3.0,,,,,,,,,,,
6,2021-05-18,1203,大中矿业,10.0,225859.0,0.0,172172.0,0.0,22.89,22.89,22.89,22.89,158077.0,14.64,0.0,36183.78,,124171.0,33906.0,3.66,0.0,0.0,10.04,2740.0,58.0,7.22,  -2.07亿,-4.12,-57.1,  -9503万, -453.0万,  -4607万,  -6097万,2740.0,1.0,100.0,9.94,29.18,57.69,,,,,,52.0,4.0,4257.0,8.0,3068.0,1065.0,1087.0,1042.0,1070.0,901.0,1.0,4256.0,484.0,,585.0,1674.0,19.0,4203.0,1.0,33.0,1100.0,1163.0,503.0,,4272.0,4260.0,,,,,1100.0,1.0,1.0,61.0,11.0,4.0,,,,,,,,,,,
7,2021-05-19,1203,大中矿业,10.0,221012.0,0.0,142217.0,0.0,25.18,25.18,25.18,25.18,73482.0,1.77,0.0,18502.85,9741.7,53993.0,19489.0,2.77,0.0,0.0,9.77,1285.0,57.0,3.36,  -8687万,-1.58,-46.95,  -6025万, -134.7万, -525.8万,  -2002万,1285.0,1.0,100.0,10.3,31.88,58.47,,,,,,45.0,9.0,4255.0,9.0,3081.0,964.0,982.0,948.0,965.0,1670.0,319.0,4260.0,926.0,5.0,1358.0,2207.0,64.0,4089.0,1.0,62.0,2552.0,1239.0,1275.0,,4199.0,4216.0,,,,,2552.0,1.0,1.0,42.0,8.0,4.0,,,,,,,,,,,
8,2021-05-21,1203,大中矿业,-4.3,1626.0,194.0,1977.0,8568.0,26.0,29.44,25.01,26.51,1199789.0,3.54,15.99,325191.88,8397.55,615140.0,584649.0,1.05,6.0,-9.95,-3.49,4744.0,253.0,54.8,  -7655万,-1.32,-2.35,   2946万,  -7486万,  -3128万,   13.0万,4744.0,0.441,90.342,-3.29,16.85,39.66,,,,,,4195.0,147.0,832.0,460.0,86.0,934.0,829.0,947.0,913.0,64.0,38.0,10.0,26.0,8.0,57.0,70.0,2571.0,173.0,4287.0,4186.0,2.0,92.0,4.0,,4180.0,1706.0,,,,,2.0,1600.0,7.0,4193.0,55.0,8.0,,,,,,,,,,,
9,2021-05-24,1203,大中矿业,1.13,9077.0,16.0,1198.0,353.0,25.25,26.96,25.08,26.81,771948.0,1.34,7.09,200379.3,4424.05,414280.0,357668.0,1.16,6.9,-0.56,0.51,4716.0,164.0,35.26,  -1.43亿,-2.44,-7.14,  -3322万,  -5642万,  -4171万,  -1166万,4716.0,0.7090000000000001,90.588,0.71,6.8,29.4,104.08,,,,,1420.0,39.0,2620.0,707.0,1356.0,954.0,919.0,941.0,906.0,139.0,766.0,388.0,60.0,21.0,126.0,157.0,1605.0,178.0,1204.0,1538.0,35.0,256.0,23.0,,4256.0,2646.0,,,,,36.0,829.0,7.0,1420.0,295.0,21.0,3.0,,,,,,,,,,
