,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank
0,2021-05-06,2559,亚威股份,4.46,400.0,1.0,6.1,6.35,6.1,6.33,91500.0,1.26,4.13,5740.1,69.85,38151.0,53349.0,0.72,3.77,-0.31,6.03,1766.0,52.0,2.36,  953.1万,0.32,16.6,0,  349.0万,  523.3万,   80.8万,2481.0,0.005,36.234,5.67,3.56,3.92,-0.27,13.0,30.53,-13.84,21.87,333.0,598.0,4012.0,3105.0,3062.0,3074.0,3038.0,1419.0,837.0,1514.0,2078.0,1389.0,1664.0,1249.0,3768.0,632.0,377.0,275.0,1973.0,1370.0,1783.0,,404.0,466.0,,,,,1349.0,4076.0,3524.0,330.0,850.0,750.0,1487.0,620.0,506.0,1422.0,557.0,,,,,,,,
1,2021-05-07,2559,亚威股份,-0.79,3.0,44.0,6.28,6.47,6.26,6.28,77275.0,0.97,3.32,4902.31,,42765.0,34510.0,1.24,0.32,-2.94,1.16,1715.0,45.0,1.99, -511.5万,-0.17,-10.43,  251.3万, -198.7万, -433.5万, -130.6万,1715.0,0.846,60.879,0.5,8.62,4.81,2.68,11.65,27.63,-13.97,22.18,2465.0,3598.0,1771.0,3049.0,3038.0,3026.0,3053.0,1694.0,1814.0,2112.0,2328.0,,1628.0,1737.0,,,,1988.0,2135.0,1602.0,,,2764.0,2417.0,,,,,2135.0,373.0,563.0,2460.0,403.0,929.0,1141.0,645.0,631.0,1438.0,564.0,308.0,105.0,1697.0,2339.0,,,,
2,2021-05-10,2559,亚威股份,0.16,94.0,319.0,6.28,6.36,6.22,6.29,46981.0,0.56,2.23,2951.0,4.65,26410.0,20571.0,1.28,1.13,-1.1,0.27,1430.0,33.0,1.21, -363.0万,-0.12,-12.3,0,   63.4万, -211.0万, -215.5万,1430.0,0.843,61.213,0.23,6.35,4.26,3.7,9.52,31.15,-12.62,22.43,2131.0,1375.0,749.0,3055.0,3082.0,3045.0,3081.0,2279.0,3833.0,3239.0,2950.0,3392.0,2209.0,2314.0,1412.0,2625.0,1908.0,1969.0,2482.0,2159.0,3128.0,,2772.0,2845.0,,,,,2482.0,505.0,691.0,2131.0,943.0,1254.0,1157.0,803.0,625.0,1415.0,609.0,329.0,288.0,1495.0,1425.0,,,,
3,2021-05-11,2559,亚威股份,1.11,3.0,40.0,6.25,6.4,6.11,6.36,68567.0,0.88,4.61,4286.82,1.0,31145.0,37422.0,0.83,4.09,-0.62,0.76,2124.0,32.0,1.77,  409.1万,0.14,9.54,0,   -2.7万,  295.6万,  116.2万,2124.0,0.887,63.556999999999995,0.5,1.23,9.44,3.55,11.21,31.21,-12.13,23.16,1472.0,3562.0,1978.0,3083.0,3084.0,3104.0,3071.0,1854.0,2167.0,1240.0,2495.0,3837.0,1946.0,1717.0,3244.0,682.0,1596.0,1445.0,1699.0,2186.0,2325.0,,818.0,988.0,,,,,1699.0,327.0,476.0,1462.0,2075.0,513.0,1057.0,660.0,646.0,1387.0,567.0,658.0,287.0,1012.0,1466.0,,,,
4,2021-05-12,2559,亚威股份,-0.79,113.0,21.0,6.33,6.38,6.27,6.31,43051.0,0.6,1.73,2718.67,3.17,28600.0,14451.0,1.98,0.64,-1.1,-1.49,1118.0,39.0,1.11, -891.0万,-0.3,-32.77,0,  -64.3万, -472.9万, -353.8万,1118.0,0.852,60.734,-1.21,-0.49,5.67,3.71,7.5,32.55,-13.89,21.81,3587.0,1111.0,2359.0,3074.0,3111.0,3068.0,3117.0,2339.0,3579.0,3515.0,3037.0,3418.0,2022.0,2742.0,87.0,4046.0,2903.0,3606.0,2864.0,1859.0,3150.0,,3799.0,4187.0,,,,,2864.0,513.0,824.0,3578.0,2712.0,1263.0,1417.0,903.0,740.0,1469.0,641.0,314.0,203.0,1545.0,1725.0,,,,
5,2021-05-13,2559,亚威股份,-1.11,60.0,131.0,6.28,6.41,6.21,6.24,56520.0,0.86,3.17,3573.47,0.0,31862.0,24658.0,1.29,0.48,-2.65,-0.06,1191.0,47.0,1.46, -448.1万,-0.15,-12.54,0,   24.4万, -518.8万,   46.3万,1191.0,0.7709999999999999,56.92100000000001,-0.09,-0.81,-0.08,3.79,5.03,33.74,-12.83,21.48,2686.0,1691.0,1196.0,3117.0,3121.0,3121.0,3139.0,2101.0,2422.0,2015.0,2765.0,4096.0,2035.0,2149.0,1460.0,2958.0,3140.0,2641.0,2791.0,1623.0,2763.0,,2809.0,2792.0,,,,,2791.0,609.0,1042.0,2686.0,3027.0,3022.0,1426.0,1149.0,745.0,1475.0,663.0,243.0,31.0,1636.0,2408.0,,,,
6,2021-05-14,2559,亚威股份,1.76,7.0,90.0,6.28,6.39,6.2,6.35,44832.0,0.77,3.04,2838.94,0.75,18687.0,26145.0,0.71,2.42,-0.63,-0.33,1324.0,34.0,1.16,  474.4万,0.16,16.71,0,0,   75.8万,  398.6万,1324.0,0.879,61.058,-0.59,-1.9,-1.18,3.7,1.85,31.22,-13.54,21.29,1298.0,3238.0,1224.0,3132.0,3138.0,3138.0,3114.0,2482.0,3201.0,2036.0,3185.0,3854.0,2651.0,2276.0,3673.0,1352.0,1692.0,1413.0,2693.0,2191.0,3431.0,,945.0,609.0,,,,,2693.0,368.0,824.0,1290.0,3128.0,2640.0,1377.0,1501.0,921.0,1434.0,635.0,155.0,13.0,1978.0,2776.0,,,,
7,2021-05-17,2559,亚威股份,-2.68,15.0,139.0,6.35,6.35,6.07,6.18,101660.0,1.95,4.41,6257.52,9.65,57755.0,43905.0,1.32,1.81,-2.68,-4.42,2168.0,47.0,2.62, -851.4万,-0.29,-13.61,0, -710.0万, -862.0万,  720.6万,2168.0,0.691,52.644,-4.13,-4.84,-5.61,-1.28,-2.29,27.89,-19.94,16.67,3389.0,2745.0,1220.0,3108.0,3135.0,3163.0,3142.0,1545.0,301.0,1316.0,2200.0,3308.0,1496.0,1580.0,1797.0,1231.0,2905.0,3515.0,1818.0,1687.0,1908.0,,3036.0,2467.0,,,,,1818.0,811.0,1555.0,3383.0,3099.0,3279.0,2158.0,1703.0,951.0,1511.0,709.0,142.0,227.0,1906.0,1544.0,,,,
8,2021-05-19,2559,亚威股份,-1.56,21.0,8.0,6.43,6.43,6.23,6.3,59005.0,0.9,3.13,3715.23,22.31,32932.0,26073.0,1.26,1.12,-2.02,-1.8,1667.0,35.0,1.52, -427.8万,-0.14,-11.51,0,0, -386.9万,  -40.9万,1667.0,0.841,55.868,-1.27,-1.99,-2.69,3.01,-4.15,29.65,-15.61,19.17,3292.0,2334.0,3131.0,3077.0,3103.0,3104.0,3112.0,1906.0,1651.0,1712.0,2628.0,2154.0,1912.0,1884.0,2090.0,1873.0,2958.0,3508.0,2072.0,2016.0,2541.0,,2532.0,2188.0,,,,,2072.0,483.0,1182.0,3295.0,2001.0,2034.0,1389.0,1810.0,754.0,1396.0,668.0,122.0,230.0,2057.0,1540.0,,,,
9,2021-05-20,2559,亚威股份,-0.48,43.0,20.0,6.3,6.37,6.23,6.27,37059.0,0.54,2.22,2327.1,8.54,20237.0,16822.0,1.2,0.64,-1.57,-0.83,1469.0,25.0,0.96, -212.5万,-0.07,-9.13,0,0, -181.9万,  -30.6万,1469.0,0.784,54.57899999999999,-0.75,1.43,-3.39,-3.42,-3.68,26.36,-18.53,18.33,2077.0,1881.0,2424.0,3115.0,3116.0,3095.0,3108.0,2525.0,3949.0,2901.0,3223.0,2932.0,2538.0,2496.0,2149.0,2824.0,2269.0,2278.0,2400.0,2576.0,3449.0,,1924.0,2140.0,,,,,2400.0,572.0,1286.0,2072.0,1158.0,1804.0,2705.0,1868.0,751.0,1495.0,668.0,199.0,49.0,1735.0,2326.0,,,,
