,日期,代码,名称,涨幅%,开买量,开卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,买量,卖量,买量Rank,卖量Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-06,300451,创业慧康,0.58,10.0,102.0,10.26,10.46,10.23,10.34,70447.0,0.63,2.24,7285.67,8.31,39887.0,30560.0,1.31,1.08,-1.15,2.16,2366.0,30.0,0.88, -957.0万,-0.09,-13.14,0, -292.8万, -542.5万, -121.7万,2366.0,0.021,38.169000000000004,1.8,-1.32,-5.08,-2.31,-5.98,-13.02,-63.12,-20.7,1930.0,2913.0,1289.0,2181.0,2185.0,2166.0,2177.0,1728.0,3236.0,3210.0,1808.0,3203.0,1608.0,1855.0,1157.0,2572.0,1676.0,1517.0,1440.0,2268.0,3583.0,,2630.0,3076.0,,,,,1436.0,3821.0,3286.0,1924.0,2870.0,3308.0,1895.0,3264.0,3819.0,3519.0,3630.0,,,,,,,,,,
1,2021-05-07,300451,创业慧康,-0.1,15.0,97.0,10.39,10.73,10.3,10.33,101570.0,1.03,4.16,10638.88,,52972.0,48598.0,1.09,0.29,-3.73,1.85,2427.0,42.0,1.26, -443.2万,-0.04,-4.17,0, -155.8万,  184.3万, -471.8万,2427.0,0.016,37.991,1.19,2.01,-2.76,-0.65,-6.1,-13.0,-64.77,-19.52,1936.0,2585.0,1231.0,2174.0,2150.0,2157.0,2175.0,1375.0,1574.0,1497.0,1485.0,,1382.0,1373.0,,,,1496.0,1464.0,1719.0,,,1767.0,1810.0,,,,,1464.0,3810.0,3298.0,1933.0,2238.0,3170.0,1840.0,3195.0,3844.0,3560.0,3596.0,491.0,783.0,1343.0,947.0,,,,,,
2,2021-05-10,300451,创业慧康,-2.23,137.0,255.0,10.33,10.36,10.05,10.1,89504.0,0.91,3.0,9125.39,9.5,55999.0,33505.0,1.67,0.5,-2.51,-2.11,2040.0,44.0,1.11,  -2289万,-0.23,-25.09,  198.4万, -540.8万,  -1586万, -360.9万,2040.0,0.001,34.064,-2.15,0.81,-2.24,-1.91,-6.83,-12.28,-65.26,-21.15,3660.0,1119.0,871.0,2181.0,2210.0,2201.0,2226.0,1529.0,2217.0,2439.0,1654.0,2928.0,1327.0,1792.0,499.0,3653.0,3322.0,3580.0,1794.0,1714.0,3307.0,,3374.0,3762.0,,,,,1794.0,4130.0,3629.0,3656.0,2775.0,3090.0,2351.0,3105.0,3834.0,3587.0,3669.0,0.0,0.0,3238.0,3013.0,,,,,,
3,2021-05-11,300451,创业慧康,5.15,165.0,70.0,10.05,10.68,9.89,10.62,164623.0,1.79,7.82,17040.03,19.1,71662.0,92961.0,0.77,7.38,-0.56,4.8,3322.0,50.0,2.05,   2231万,0.21,13.1,  412.4万,  873.6万,  365.4万,  580.1万,3324.0,0.113,47.322,4.53,3.46,4.26,-2.68,-1.71,-4.53,-62.91,-17.9,192.0,923.0,1562.0,2228.0,2172.0,2235.0,2159.0,955.0,300.0,344.0,1026.0,2385.0,1078.0,862.0,3547.0,161.0,1471.0,191.0,792.0,1519.0,2061.0,,575.0,689.0,,,,,792.0,3156.0,2101.0,190.0,1062.0,1469.0,2407.0,2370.0,3536.0,3524.0,3491.0,5.0,0.0,2979.0,3049.0,,,,,,
4,2021-05-12,300451,创业慧康,1.98,5.0,351.0,10.54,11.08,10.48,10.83,177151.0,1.69,5.65,19193.76,106.66,86991.0,90160.0,0.96,3.34,-2.26,1.28,2888.0,61.0,2.21,  350.8万,0.03,1.83, -168.9万,  163.5万, -117.1万,  473.3万,2888.0,0.151,51.558,1.55,3.87,6.89,0.22,-1.73,4.2,-60.53,-16.76,998.0,3251.0,550.0,2167.0,2136.0,2161.0,2153.0,851.0,369.0,715.0,913.0,941.0,861.0,842.0,2376.0,1086.0,3788.0,1015.0,1035.0,1197.0,1879.0,,1724.0,1903.0,,,,,1035.0,3112.0,1800.0,994.0,752.0,971.0,2249.0,2138.0,3147.0,3473.0,3450.0,4.0,0.0,3092.0,3046.0,,,,,,
5,2021-05-13,300451,创业慧康,-1.29,56.0,3.0,10.71,10.9,10.61,10.69,115321.0,0.96,2.68,12392.16,63.51,61590.0,53731.0,1.15,0.75,-1.93,-0.25,2387.0,48.0,1.44, -831.5万,-0.08,-6.71,0, -249.8万, -437.5万, -144.2万,2387.0,0.128,48.744,-0.27,5.83,4.73,-0.54,-0.82,3.21,-61.68,-16.8,2853.0,1746.0,3735.0,2164.0,2168.0,2155.0,2158.0,1279.0,1917.0,2486.0,1347.0,1526.0,1269.0,1294.0,2091.0,2355.0,2356.0,2829.0,1432.0,1597.0,2787.0,,2264.0,2154.0,,,,,1432.0,3117.0,2042.0,2852.0,440.0,1076.0,2459.0,2002.0,3346.0,3537.0,3492.0,0.0,0.0,3246.0,3070.0,,,,,,
6,2021-05-14,300451,创业慧康,-0.19,18.0,169.0,10.74,10.78,10.53,10.67,110333.0,0.85,2.34,11747.83,2.04,61523.0,48810.0,1.26,1.33,-1.02,-2.28,2312.0,48.0,1.37,  -1344万,-0.13,-11.44,0, -175.0万,  -1043万, -126.2万,2312.0,0.133,48.338,-2.54,-1.27,1.0,-1.87,-0.67,5.33,-65.73,-19.21,3414.0,2615.0,874.0,2154.0,2186.0,2169.0,2187.0,1472.0,2798.0,2777.0,1474.0,3653.0,1340.0,1580.0,889.0,2649.0,2370.0,3494.0,1639.0,1706.0,3144.0,,3172.0,3380.0,,,,,1639.0,3532.0,2539.0,3410.0,2760.0,1587.0,2852.0,1858.0,3260.0,3568.0,3566.0,4.0,0.0,3153.0,3100.0,,,,,,
7,2021-05-17,300451,创业慧康,-2.25,85.0,151.0,10.69,10.7,10.31,10.43,151247.0,1.15,3.66,15808.75,30.47,79597.0,71650.0,1.11,1.16,-2.52,-3.99,2594.0,58.0,1.88, -817.7万,-0.08,-5.17,0,  221.0万, -443.0万, -595.7万,2594.0,0.064,43.642,-3.71,-6.48,-0.59,-2.89,-3.91,3.63,-68.56,-22.41,3131.0,1548.0,1162.0,2185.0,2208.0,2210.0,2209.0,1139.0,1622.0,1858.0,1220.0,2347.0,1168.0,1112.0,2582.0,1733.0,2765.0,3305.0,1428.0,1373.0,2627.0,,1802.0,1694.0,,,,,1428.0,3761.0,2987.0,3131.0,3621.0,1211.0,2659.0,1985.0,3291.0,3530.0,3608.0,0.0,0.0,3257.0,3172.0,,,,,,
8,2021-05-19,300451,创业慧康,-0.28,16.0,219.0,10.59,10.59,10.39,10.5,66806.0,0.51,1.9,6991.26,13.24,41253.0,25553.0,1.61,1.06,-0.85,-0.52,1644.0,41.0,0.83,  -1635万,-0.15,-23.39, -316.3万,  451.9万, -753.0万,  -1018万,1644.0,0.1,45.38399999999999,0.01,-2.8,-5.58,1.19,-2.8,0.39,-66.75,-21.65,1898.0,2546.0,782.0,2198.0,2223.0,2202.0,2210.0,1781.0,3900.0,3076.0,1900.0,2584.0,1640.0,1908.0,1051.0,1954.0,1151.0,2304.0,2098.0,1780.0,3536.0,,2595.0,3230.0,,,,,2098.0,3427.0,2656.0,1908.0,2531.0,3348.0,1875.0,1605.0,3434.0,3523.0,3590.0,0.0,0.0,3293.0,3081.0,,,,,,
9,2021-05-20,300451,创业慧康,1.14,11.0,1.0,10.47,10.7,10.45,10.62,84736.0,0.78,2.38,8961.26,5.24,43676.0,41060.0,1.06,1.63,-0.75,0.79,2248.0,38.0,1.06, -269.6万,-0.03,-3.01,0,   57.0万,  321.7万, -648.3万,2248.0,0.14800000000000002,48.347,0.87,1.79,-4.53,0.23,-2.14,-5.4,-66.22,-21.03,850.0,2856.0,4010.0,2210.0,2207.0,2187.0,2189.0,1587.0,2667.0,2721.0,1689.0,3228.0,1659.0,1509.0,2725.0,1467.0,954.0,952.0,1599.0,1955.0,3298.0,,1516.0,1564.0,,,,,1599.0,2945.0,2065.0,848.0,1051.0,2324.0,1447.0,1602.0,3652.0,3509.0,3557.0,0.0,0.0,3420.0,3152.0,,,,,,
