,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,RSI1,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,RSI1Rank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank,开盘金额,开盘金额Rank,代码.1,名称.1,代码.1Rank,名称.1Rank,竞价量,竞价量Rank
0,2021-05-07,600906,N财达,43.88,817222.0,0.0,707727.0,0.0,4.51,5.41,4.51,5.41,57226.0,0.0,23.94,3086.02,49819.0,7407.0,6.73,19.96,0.0,44.53,2216.0,26.0,1.14,  -2294万,-0.85,-74.35,0,  -70.3万, -102.3万,  -2122万,2216.0,1.0,,,,,,,,,,2.0,3.0,4240.0,2.0,4170.0,3562.0,3352.0,3550.0,3319.0,2020.0,4262.0,5.0,2885.0,1434.0,3282.0,,,,2.0,1650.0,2470.0,,,3978.0,4259.0,,,,,1650.0,1.0,,,,,,,,,,,,,,,,,
1,2021-05-10,600906,财达证券,9.98,7250730.0,0.0,578672.0,0.0,5.95,5.95,5.95,5.95,23861.0,0.42,0.0,1419.75,22267.0,1594.0,13.97,0.0,0.0,9.71,1272.0,19.0,0.48,  -1230万,-0.41,-86.62, -196.9万,0,  -98.9万, -934.1万,1272.0,1.0,100.0,10.05,,,,,,,,89.0,1.0,4238.0,1.0,3013.0,3177.0,3207.0,3158.0,3193.0,3023.0,4144.0,4226.0,3712.0,2411.0,4168.0,4.0,4185.0,1.0,96.0,2707.0,2986.0,4148.0,,3814.0,4262.0,,,,,2707.0,1.0,1.0,88.0,,,,,,,,162.37,784.0,,,,,,
2,2021-05-11,600906,财达证券,10.08,5703092.0,0.0,453033.0,0.0,6.55,6.55,6.55,6.55,18276.0,0.45,0.0,1197.1,16707.0,1569.0,10.65,0.0,0.0,9.68,1022.0,18.0,0.37, -991.5万,-0.3,-82.83,0,0,  -93.5万, -898.0万,1022.0,1.0,100.0,9.47,,,,,,,,26.0,1.0,4245.0,1.0,3049.0,2990.0,3034.0,2953.0,3003.0,3205.0,4116.0,4245.0,3816.0,2667.0,4169.0,3.0,4218.0,1.0,30.0,3023.0,3032.0,4217.0,,3662.0,4266.0,,,,,3023.0,1.0,1.0,23.0,,,,,,,,191.77,730.0,,,,,,
3,2021-05-12,600906,财达证券,10.08,6333263.0,0.0,377313.0,0.0,7.21,7.21,7.21,7.21,16600.0,0.5,0.0,1196.87,14698.0,1902.0,7.73,0.0,0.0,9.47,885.0,19.0,0.33, -922.5万,-0.26,-77.08,0,0, -100.8万, -821.7万,885.0,1.0,100.0,9.65,32.3,,,,,,,27.0,1.0,4259.0,1.0,3046.0,2825.0,2872.0,2804.0,2855.0,3303.0,4008.0,4258.0,3818.0,2785.0,4131.0,4.0,4252.0,1.0,27.0,3278.0,2896.0,4240.0,,3730.0,4271.0,,,,,3278.0,1.0,1.0,23.0,6.0,,,,,,,252.03,490.0,,,,,,
4,2021-05-13,600906,财达证券,9.99,5021867.0,0.0,424901.0,0.0,7.93,7.93,7.93,7.93,56725.0,1.95,0.0,4498.3,52485.0,4240.0,12.38,0.0,0.0,10.95,2189.0,26.0,1.13,  -3825万,-0.96,-85.04,0, -138.9万, -701.1万,  -2985万,2189.0,1.0,100.0,11.01,33.27,,,,,,,46.0,1.0,4250.0,1.0,3070.0,2686.0,2733.0,2664.0,2692.0,2097.0,299.0,4269.0,2488.0,1432.0,3741.0,5.0,4105.0,1.0,59.0,1628.0,2524.0,3210.0,,4069.0,4277.0,,,,,1628.0,1.0,1.0,43.0,5.0,,,,,,,543.78,333.0,,,,,,
5,2021-05-14,600906,财达证券,9.96,4164358.0,0.0,492905.0,0.0,8.72,8.72,8.72,8.72,51384.0,1.49,0.0,4480.65,42525.0,8859.0,4.8,0.0,0.0,8.19,1471.0,35.0,1.03,  -2936万,-0.67,-65.52,0, -396.2万, -623.5万,  -1916万,1471.0,1.0,100.0,7.61,31.39,58.89,,,,,,92.0,1.0,4247.0,1.0,3100.0,2516.0,2562.0,2492.0,2527.0,2314.0,829.0,4264.0,2627.0,1733.0,3338.0,14.0,4238.0,1.0,67.0,2500.0,2152.0,3597.0,,4036.0,4266.0,,,,,2500.0,1.0,1.0,91.0,7.0,3.0,,,,,,1494.8,74.0,,,,,,
6,2021-05-17,600906,财达证券,9.98,5803443.0,0.0,473778.0,0.0,9.59,9.59,9.59,9.59,31345.0,0.94,0.0,3006.0,27660.0,3685.0,7.51,0.0,0.0,9.2,1607.0,20.0,0.63,  -2299万,-0.48,-76.48,0,  -63.0万, -322.2万,  -1914万,1607.0,1.0,100.0,8.52,30.23,57.32,,,,,,43.0,1.0,4260.0,1.0,3172.0,2352.0,2379.0,2331.0,2353.0,2900.0,2578.0,4260.0,3135.0,2354.0,3892.0,7.0,3918.0,1.0,30.0,2411.0,2955.0,4105.0,,3577.0,4276.0,,,,,2411.0,1.0,1.0,42.0,6.0,1.0,,,,,,534.8,368.0,,,,,,
7,2021-05-18,600906,财达证券,10.01,4900631.0,0.0,373124.0,0.0,10.55,10.55,10.55,10.55,36000.0,1.03,0.0,3797.98,31469.0,4531.0,6.95,0.0,0.0,9.69,1461.0,25.0,0.72,  -2842万,-0.54,-74.82,0, -184.7万, -321.4万,  -2336万,1461.0,1.0,100.0,9.96,29.14,57.79,,,,,,44.0,1.0,4257.0,4.0,3068.0,2196.0,2229.0,2174.0,2201.0,2472.0,1120.0,4256.0,2564.0,1854.0,3705.0,5.0,4203.0,1.0,63.0,2375.0,2464.0,3715.0,,3981.0,4274.0,,,,,2375.0,1.0,1.0,41.0,14.0,2.0,,,,,,,,,,,,,
8,2021-05-20,600906,财达证券,9.99,3297951.0,0.0,437092.0,0.0,12.77,12.77,12.77,12.77,261049.0,6.22,0.0,33335.97,252914.0,8135.0,31.09,0.0,0.0,10.11,4242.0,62.0,5.22,  -3.13亿,-4.9,-93.76,  -5326万,  -3901万,  -1.07亿,  -1.13亿,4242.0,1.0,100.0,9.72,33.13,57.16,,,,,,50.0,1.0,4262.0,2.0,3152.0,1899.0,1931.0,1870.0,1904.0,646.0,10.0,4281.0,603.0,304.0,3224.0,1.0,4099.0,1.0,26.0,279.0,1234.0,850.0,,4289.0,4293.0,,,,,279.0,1.0,1.0,46.0,4.0,4.0,,,,,,1680.89,115.0,,,,,,
9,2021-05-21,600906,财达证券,10.02,1450844.0,0.0,458290.0,0.0,14.05,14.05,14.05,14.05,346609.0,4.17,0.0,48698.57,266917.0,79692.0,3.35,0.0,0.0,10.6,3609.0,96.0,6.93,  -2.63亿,-3.74,-54.01,  -1.01亿,  -2768万,  -4555万,  -8913万,3609.0,1.0,100.0,11.03,34.21,60.66,156.94,,,,,32.0,3.0,4280.0,2.0,3127.0,1746.0,1768.0,1723.0,1740.0,418.0,25.0,4286.0,348.0,250.0,885.0,15.0,4131.0,1.0,51.0,552.0,625.0,541.0,,4275.0,4280.0,,,,,552.0,1.0,1.0,29.0,4.0,3.0,1.0,,,,,21964.06,1.0,,,,,,
